name,frame,vis_px,vis_px_pc,total_px,total_px_pc,diff,diff_pc
_tigfCJFLZg_00060,0,63.0,0.02,10924.0,3.56,10861.0,0.58
_tigfCJFLZg_00060,1,718.0,0.23,7569.0,2.46,6851.0,9.49
_tigfCJFLZg_00060,2,1337.0,0.44,6020.0,1.96,4683.0,22.21
_tigfCJFLZg_00060,3,2695.0,0.88,4888.0,1.59,2193.0,55.14
_tigfCJFLZg_00060,4,2951.0,0.96,4309.0,1.4,1358.0,68.48
_tigfCJFLZg_00060,5,2545.0,0.83,3586.0,1.17,1041.0,70.97
_tigfCJFLZg_00060,6,2087.0,0.68,3178.0,1.03,1091.0,65.67
_tigfCJFLZg_00060,7,2209.0,0.72,3509.0,1.14,1300.0,62.95
_tigfCJFLZg_00060,8,2272.0,0.74,3447.0,1.12,1175.0,65.91
_tigfCJFLZg_00060,9,2372.0,0.77,3430.0,1.12,1058.0,69.15
_tigfCJFLZg_00060,10,2754.0,0.9,3920.0,1.28,1166.0,70.26
_tigfCJFLZg_00146,0,251.0,0.08,12135.0,3.95,11884.0,2.07
_tigfCJFLZg_00146,1,178.0,0.06,12793.0,4.16,12615.0,1.39
_tigfCJFLZg_00146,2,231.0,0.08,3146.0,1.02,2915.0,7.34
_tigfCJFLZg_00146,3,347.0,0.11,3080.0,1.0,2733.0,11.27
_tigfCJFLZg_00146,4,458.0,0.15,3187.0,1.04,2729.0,14.37
_tigfCJFLZg_00146,5,602.0,0.2,2998.0,0.98,2396.0,20.08
_tigfCJFLZg_00146,6,851.0,0.28,3314.0,1.08,2463.0,25.68
_tigfCJFLZg_00146,7,1313.0,0.43,3668.0,1.19,2355.0,35.8
_tigfCJFLZg_00146,8,1369.0,0.45,3641.0,1.19,2272.0,37.6
_tigfCJFLZg_00146,9,1628.0,0.53,3900.0,1.27,2272.0,41.74
_tigfCJFLZg_00146,10,1969.0,0.64,3667.0,1.19,1698.0,53.7
_tigfCJFLZg_00146,11,2474.0,0.81,3559.0,1.16,1085.0,69.51
_tigfCJFLZg_00146,12,3137.0,1.02,3669.0,1.19,532.0,85.5
_tigfCJFLZg_00146,13,3334.0,1.09,3835.0,1.25,501.0,86.94
_tigfCJFLZg_00146,14,3597.0,1.17,4085.0,1.33,488.0,88.05
_tigfCJFLZg_00146,15,3833.0,1.25,4370.0,1.42,537.0,87.71
_tigfCJFLZg_00146,16,4163.0,1.36,4791.0,1.56,628.0,86.89
_tigfCJFLZg_00146,17,4403.0,1.43,5158.0,1.68,755.0,85.36
_tigfCJFLZg_00146,18,4661.0,1.52,5633.0,1.83,972.0,82.74
_tigfCJFLZg_00146,19,4737.0,1.54,5687.0,1.85,950.0,83.3
_tigfCJFLZg_00146,20,4666.0,1.52,5684.0,1.85,1018.0,82.09
_tigfCJFLZg_00146,21,4600.0,1.5,5797.0,1.89,1197.0,79.35
_tigfCJFLZg_00146,22,4644.0,1.51,5788.0,1.88,1144.0,80.23
_tigfCJFLZg_00146,23,4498.0,1.46,5645.0,1.84,1147.0,79.68
_tigfCJFLZg_00146,24,4262.0,1.39,5453.0,1.78,1191.0,78.16
_tigfCJFLZg_00146,25,4163.0,1.36,5421.0,1.76,1258.0,76.79
_tigfCJFLZg_00146,26,4258.0,1.39,5415.0,1.76,1157.0,78.63
_tigfCJFLZg_00146,27,4207.0,1.37,5428.0,1.77,1221.0,77.51
_tigfCJFLZg_00146,28,4399.0,1.43,5618.0,1.83,1219.0,78.3
_tigfCJFLZg_00146,29,4369.0,1.42,5656.0,1.84,1287.0,77.25
_tigfCJFLZg_00146,30,4540.0,1.48,5845.0,1.9,1305.0,77.67
_tigfCJFLZg_00146,31,5016.0,1.63,6174.0,2.01,1158.0,81.24
